シュー… アナンタ族として謝罪を… 	 They disssgrace all Ananta...
子どもたちには、無理ばかりさせてしまっていたが…… のびのびと過ごしているようで、なによりだ。 たまにモードゥナを恋しがっているようだがね。 	 Those children certainly keep me on my toes! Not that they mean to cause mischief, but they are so adventurous that I cannot help but worry.
分身っぺな 	 I am a bunshin, yes, yes.
町内のがれきはあらかた片づけて、サッパリしたぜ！ これからはどんどん建物を増やして、 賑やかにしていきたいよな！ 	 Clearing away the rubble is only the beginning! We plan to fill the area with a host of new buildings to encourage the rebirth of the enclave.
コザクラさんたち……車前会が…… うまいこと資材を……工面してくれている……。 とても、ありがたいことだ…………。 	 Kozakura and the Shazenkai hold the purse strings around here, it seems. Time will tell if we were right to place our trust in them...
おいらも壺がほしいっぺな… 	 You have been in that pot long enough, yes, yes?
ええっと、つまり…？ 	 I don't see where you are going with this, Haname.
ヨツユはかつて、反帝国運動の協力者だった。 遊女として帝国の高官に近づき、 ささいな情報を得ては、反乱軍に提供していたのでござる。 - しかし、奴の真の目的は逆よ……。 信頼を築くことで反乱軍の情報を得て、 ゼノス擁する帝国の一派に、それを売っていたのでござる。 	 Yotsuyu was once a spy for the Liberation Front. She used her talents to beguile imperial officers and learn secrets which she shared with us... - Little did we know it was all in service to a larger plan: to ingratiate herself with us, that she might betray us to Zenos when he marched on Doma. And it worked.
やれやれ…… 上からの指示で、異国の船を警戒するとはいっても、 海賊衆とも断絶ってのは、いかにも具合が悪い……。 	 We have been given strict orders to monitor all foreign vessels passing through this area. It is far more taxing than it sounds for, in addition to that, we must also contend with the Confederates.
いざってときのために、 大筒の手入れは、小まめに念入りにするのが肝要だ。 ここのは、潮風にさらされてるから、特にな。 	 It is my responsibility to keep these cannons in working order. I must clean and polish them regularly, else the corrosive winds will cause them to fall into disrepair.
俺は、視力に自信があってな。 こうして、重要な見張り役を任じられているのだ。 余計なものまで見えてしまい、もてあますこともあるがな。 	 I have the eyes of a hawk. It is both a blessing and a curse. On the one hand, I can see everything, but on the other hand I can see everything.
砲撃対象は、船旗ですばやく見極めよ！ 認可船の誤射、不認可船の見逃し、 いずれも祖国を危険にさらすと心得よ！ 	 You are to scrutinize their flags and make absolute certain they are an enemy vessel before firing upon them! Whatever you do, you are not to sink an allied ship or allow an unfriendly one passage!
米、味噌、酒…… よし！ 	 Rice, miso, sake, revolvers, silk...wait, revolvers?
この臭い… 噴火が近いな… 	 The smell of sulphur is strong on the wind, today.
ここの見張り役は、海を渡る船はもちろん、 「獄之蓋」の火山の様子も監視してんだ。 	 I am charged with both monitoring the ships that pass through this area and keeping a close watch on activity in Hells' Lid.
サボってるんじゃないぞ、休憩も仕事のうちさ。 なんせ見張りは、見落としすら許されないからな。 疲れて集中できなかったり、居眠りなんて、言語道断だ。 	 Me? Slacking off? Nay─this is nothing of the sort! In fact, I would even say this is the most important part of my job. After all, if I do not rest and keep my eyes sharp, I am bound to miss something important.
俺だって、まだまだ最前線で見張り役をはってんだ。 海賊衆は、死ぬまで現役が当たり前だからな。 	 I am one of the Confederacy's foremost lookouts. It is a position I intend to keep until the day I die.
圧倒的な存在感だね… 	 I never grow tired of watchin' the Lid. The stench, now, is another matter.
台場に動きなーし 	 Naught amiss at the Price...yet.
どうだい、すごいだろぉ～？ このお宝は、オラが見つけてきたんだぁ～。 取引するぅ～？ 	 Haha! Take a look at this─is it not magnificent!? I can see that you want it. For the right price, I might be willing to part with it.
お前さんも、お参りに来たのかぁ～？ 陸の者なのに、感心だなぁ～。 	 Have you, too, come to offer up your prayers?
どうだ、かわいいだろぉ～？ こう見えて、海で役立つ働き者なんだぁ～。 	 She is adorable. Yes, she is! One day this little girl is going to be the savior of these seas.
よお、陸のヒト～何か面白い話をしてくれよぉ～？ 噂話は、縁 (えにし)を繋ぎ、商売を紡ぐんだぁ～。 	 You look like you might have a few interesting stories to tell. If you have a moment to spare, we would love to hear them.
年に数度の宴会の準備をしてるんだぁ～。 珍しい食材を知ってたら、教えてくれよぉ～。 	 I am currently in the middle of preparing food for our village-wide banquet. If you happen to know any unusual ingredients or recipes I could use, do tell!
ホレホレ　磨けぇ～　ピカピカ　磨けぇ～ 今日も　ご加護を　ありがとなぁ～。 	 That's it. Just keep on rubbing it just like that. You are doing great.
これから宝物探しに行くから、 安全を祈るおまじないをしてるんだぁ～。 一緒に、やるぅ～？ 	 I am praying to the kami for luck since I am about to leave on a treasure hunt. Would you like to join me?
惚れ惚れするなぁ～ 	 Most beautiful... Yes...
ケフサンは物知りだなぁ～ 	 Your wisdom is as bounteous as the sea.
ピッカピカにするぞぉ～ 	 Whose shell is it again that I've been polishing all day?
何者だァ～！？ 凶事を運ぶモンは、串刺しにしてやるぞォ～！ 	 One wrong move and you will have the pleasure of being acquainted with my lance.
紫水宮で、何かあったのか……？ 宮中のことは、ほとんど秘密にされていて、 オレなんて、紅玉姫さまの顔も知らないんだけどな！ 	 Has something happened at Shisui of the Violet Tides? Rarely are we kept informed of the ongoings of the castle. I mean, none of us even know what our own ruler, the Ruby Princess, looks like!
ねえ、ミズタマの外ってどんなところなのかな？ わたしも、お外にいってみたいけど…… でも、ちょっとこわいなー。 	 Hey, miss, what is the surface like? Is it a nice place? Or is it scary? Do you have seaweed that grows up to the skies? Or do you have...
アンタ、いったい何者だ……？ 余所者なんざ、滅多に来ない里だ。 顔には出さないが、里の連中もみんな気にしてるぞ。 	 If I may ask, what brings you to our humble village, madam? It is not every day that we receive visitors from the surface.
近ごろの紅甲羅の暴れっぷりには、困ったものだわ。 同じコウジン族でも、碧甲羅には、 温厚で、つきあいやすい相手が多いのだけど……。 	 The Kojin of the Red have become even more aggressive of late. It has caused our people no end of trouble. <sigh> If only they were a bit more like their amicable cousins in Tamamizu, perhaps we would not have to suffer so...
紅玉姫さまに、お会いしてみたいなあ……！ お姉ちゃんは、会ったことある？ 	 It is my dream to one day meet the Ruby Princess. I bet she is beautiful! Have you ever met her, miss?
これから出る漁の、手はずを打ち合わせてるところでな。 ……悪いが、後にしてくれるか？ 	 I am currently in the middle of delegating fishing tasks. Unless what you have to say is of great import, pray come and find me later.
オレのおごりだ、呑め！ 	 Water, water, everywhere and all you do is drink!
心頭滅却！ 	 Open your minds... Open your minds... Open your minds...
何か？ ハッ……さてはうちの子が、また悪さをしたのでは……？ 	 Oh, dear... <sigh> What have my sons done this time?
漁具の準備はよし…と 	 A place for every gig and every gig in its place.
魚が2匹ほど、減ってる気がするのよね。 誰かが、こっそりツマミ食いしたんじゃないかしら……。 	 I could have sworn there were at least two fish left on this line. Did someone sneak off with them?
キュゥゥ～！ 	 <chirp> <chirp>
ここは帝国領だ！ 立ち去れ！ 	 This land has been lawfully claimed by the Empire. Begone or you will be... dealt with.
お前は… 	 You...
即刻、去れ！ 	 Do not take another step further into the village! You have been warned!
漁のあとの一服は格別だな。 	 Ah, there is nothing better than having a smoke after a long day of fishing...
干物がこれだけあれば、少しは金になるかな……。 	 Selling all of this should earn me enough money to make it through to the next moon.
海を見てりゃ、悩みも晴れる。 それでも、考え事をしたいときはあるよな。 	 Nothing can compare to the seas' magnificence. Standing here and looking upon their beauty always helps me clear my thoughts.
新鮮な魚は美味しいけど、 不漁の日もあるし、時化で漁にでれない日もある。 だから、保存できるように、こうして干しているの。 	 While many of us prefer the taste of fresh fish, we must preserve most of what we catch for days our hauls are not so bountiful.
う～ん……これだけじゃ、大した稼ぎにならないな。 最近、不漁続きでね……いい漁場をさがさなきゃ。 	 This meager haul will fetch us but a pouchful of coins at the market. <sigh> It seems every day the number of fish we catch dwindles. We really must look into finding new fishing grounds.
おい、話しかけるなよ。 また最初から、次の手を考えなおしになるだろう……。 次の漁の舟漕ぎがかかってるんで、負けられないんだ。 	 Quiet. Do not break my concentration. The very clothes on my back ride on the outcome of this game.
はぁ、気が重いわ……。 これを担いで、行商に行かなきゃなんないなんて……。 	 I do not know how I am going to carry all of this to the marketplace on my own...
上出来、上出来… 	 These will fetch quite the price at market.
ヒック…あれ？ モトゴエが3人も… 	 Hic...! How manyfinners am I hollin'up? Wait! Dontellme... Free─hic─no four! Seven!
次の漁に向けて、帆の点検してんだ。 	 I am about to set out on a fishing voyage and am inspecting my boat to make sure everything is in working order.
うちらは、イサリ村の生まれでね。 しばらく、ここに残れって、頭領にいわれたんだ。 	 The both of us were born and bred in Isari, which is presumably why the chief has stationed us here. It is good to be home for a time.
腰に負担がかからない釣り竿を作りたくて、 アイツの様子を見てたんだが……釣り糸も重要だな。 	 I am looking to make a rod that will not put any strain on my back. My friend is in the middle of testing my latest design for me.
この辺りに 沈んでいるはず… 	 It's right under us. I can feel it!
この先は危ないぞぉ～ 	 You don't want... to go back there.
珊瑚台は、見張り台であると同時に、 航海の安全を祈念する儀式の場でもあるのさ。 海賊衆は、海を敵に回す恐ろしさを知ってるからね。 	 While the Coral Banquet is primarily a lookout post, occasionally we will also conduct rituals here to ensure the safe return of those going out to sea.
ここは、北方を監視する見張り台「珊瑚台」。 紅玉海の要所であり、荒事の最前線だ。 	 From here we survey the northern expanse of ocean. Most enemy fleets will approach our island from these waters, and it is for this reason alone that the Coral Banquet is considered to be the Confederacy's most dangerous post.
見張りは、気を抜けないよ……。 海賊衆は、昔から、何度も襲撃を受けてるもんでね。 	 Please, madam, do not break my concentration. Were enemy troops to approach and I failed to raise the alarum, the deaths of my fellow Confederates will be on my hands.
は～ 大事な酒が… 	 My brothers aren't going to like this...
俺は、漁村の生まれだが、こいつはドマの生まれでね。 ドマの習慣が、俺の故郷とまるで違うんで、 どんなに話をきいても、飽きねぇんだ。 	 The Confederacy is of a thousand nations and of none. I, for example, was born in a fishing village, whereas this one hails from the plains of Yanxia. His stories never cease to entertain!
どうだい、この船、ちょいと古いが立派だろ？ 「関船」っていって、ちょいと大きな戦のときに使うんだ。 でも、最近は、ほとんど出番なし。 - 普段は、「小早」っていう小型の船で、 ササッと獲物を取り囲んじゃうからね。 	 This sekibune may be past her prime, but that gives her all the more character, I say! A pity she so rarely sees combat. - Alas, none can deny that a flotilla of smaller ships is more effective in most cases. Easier to trap a larger vessel and less danger to us all should they be armed.
海賊衆は、いずれの国にも属さないが、 これを貫くには、自由を守るだけの力が必要だ。 そのためにも、普段の見張り、見回りが重要なのさ。 	 Never underestimate the importance of guard duty, I say. If one truly values his freedom, he must be ever ready to defend it.
出さぬなら、身ぐるみ剥ごう、帆別銭…… どうだ、渾身の一句なんだが！ 	 If you refuse to pay the Ruby Tithe, we will strip you of everything you have─including the very clothes on your back! Gahaha!
俺は海賊衆の料理番。 底なしの胃袋を持ってる連中の腹を満たすには、 まずは酒に酔わせちまうのが、一番さ！ 	 Aye, I'm a pirate and aye, I'm a cook. And a good one at that! I know the best seasoning for any dish: plenty of drink to wash it down!
やれやれ…… また新入りが、魔物に絡まれてるな……。 さて、お手並み拝見と行こうかね。 	 By the look of it, our new recruits have, once again, charged into a head-to-head battle with some deadly sea beasts. Those fools never learn, do they?
おお、俺に何の用だ……ひっく。 酒か、煙草か、もっといいモンか……？ 俺との賭けに勝ったら、譲ってやるよ……ひっく。 	 Ahhh, is there aught in this world finer than strong spirits and tobacco? I think not... <hic> Hm? What is it? A game of chance? Another time, perhaps... <hic>
北からの異国船を見張る「珊瑚台」に比べれば、 ここは、はるかに重要度も低い監視場所だ。 なもんで、新入りの初仕事には、ちょうどいいのさ。 	 This is a much safer place for lookouts to be stationed than the Coral Banquet. That is why most new recruits start here.
月と潮の目から、漁場を予測すれば、 すぐに、海賊衆の飯の食材を集められるよ。 帆別銭が減ったもんで、少しでも節約しないとな。 	 If you set your net according to the position of the moon and rhythm of the tide, it won't take long for it to become full. Most days I can catch enough food to feed our entire crew.
俺たちだって、縄を編んだり、舟掃除してるけど、 一番の仕事は、遊ぶことだって、頭領に言われてんだ。 それで、空と潮目の関係が自然と読めるようになるらしいぜ。 	 We help clean ships and fix nets. When Mister Tsukikage deems our work done, then we go off to play!
ここじゃ、過去に何を抱えてても、 実力と人望がありゃ、のしあがれる。 居心地がいいところさ。 	 The past holds no power over us. What you are is what you do now and ever after. Such is the way of the Confederacy.
仕置役に声をかけるとは、度胸があるな。 様々な過去を抱える連中が、肩寄せ合った集団だから、 海賊衆である以上、掟破りにゃ容赦できんのさ。 	 As you can imagine, many of the men and women here have rather murky pasts. While what they have done in their former lives is of no concern to us, any who break Confederate law will have to answer to me.
海賊衆は、過去に何度も、 外の勢力から攻められたことがあるんだ。 だからこそ、周囲の警戒だけは緩められないのさ。 	 It is not uncommon for us to find ourselves under attack. That is why we have heightened the security in this area and carefully monitor all activity in the waters surrounding our island.
この先は、禁足地だぜ。 	 Turn around and go back whence you came. This is a restricted area.
頭の部屋にゃ 誰も入れねえぞ 	 Only way through them doors is iffin I's carryin' yer nob in a sack.
父ちゃんの握り飯うめ～！ 	 Da makes the best rice balls in the village, and I'll plug the gob of any who'll say he don't!
割れちゃったぁ～ 	 Sprung a damned leak when I took her o'er the shoals near Sakazuki.
おい！ いつまで数えてんだよ！？ 	 You need some help? There's one box, and two casks. Now can we go?
お助けを… 	 You! You've got to save us. This man... He's not right in the head! Please!
今日こそ、話をしたいが… 	 Do you think she's noticed me standing here for the past twelve bells?
はぁ～美しい～ 我ながら、よく磨けたぞぉ～ 	 This piece is so polished, I can see the future in it!
手伝ってもらって悪いな 	 Never hurts to have an extra set of eyes looking over the hull!
しっかり整備しないと… 	 Need to get this tub patched up...
俺たちはドマの徴用兵でしたが、家族を皆殺しにされていて、 行き場がなかったんで、海賊衆で面倒を見てもらってます。 地獄のような帝国に比べれば、ここは楽園ですよ。 	 We were Domans before the imperials drafted us into their armies. But with our families dead and gone, the Confederacy is to be our home now. Compared to the hell the Empire put us through, though, this is a kami-blessed paradise.
まだまだ持てるぞ 	 Is that it? I can still carry more.
頼もしいじゃないか… 	 I could use a dozen more like you...
あれだけ長く船に乗ったのだ… この辺りがエオルゼアだな？ 	 Considering how long we spent on that boat, we must be in Eorzea by now.
適当に撒いているように見えるかもしれないけど、違うんだよ。 おいしい米を作るために、稲の品種や田の土の性質に合わせて、 肥料の量なんかを変えているのさ。 	 There is a real technique to this. You cannot just go spreading fertilizer anywhere. You must take account of the different types of rice plant and their individual needs. It is a lot like raising children really.
ナマイ村の柿は、そりゃあ甘いって評判でね。 干し柿にすれば長持ちするし、ありがたい恵みさ。 	 They say persimmons taste better the longer you stare at them. This one is going to be positively delicious.
人狼族がめずらしいのかい？ そんなにジロジロ見ないでおくれよ。 	 I would love nothing more than to devour an entire tiger right now.
村にある水田は、もう見てくれたかしら。 我が子同然に育てている、私たち、自慢の水田なの。 	 Have you already taken in our paddies? We raise them as if they were our children. They are a rare source of happiness for me in these dark times.
イテテテテ……。 野良仕事は、腰にくるものが多くてね。 まめに体を伸ばさないと、キツいんだよ。 	 Agh, all this labor is not helping my poor old back.
どれも同じ竹竿に見えるかもしれないけれど、 洗濯物を干すのに使ったり、釣りに使ったりと、 モノによって、使い道も違うんだよ。 	 Ah, I see you there. Admiring my bamboo pole collection, were you not? Always nice to meet a fellow enthusiast. It has taken me a not-insignificant amount of time to amass all of these.
まっ、まだまだ！ 	 All we do is train! When do we fight!?
異人さん、これが何かわかるかい？ これは米俵と言って、中には米粒がぎっしりと詰まってるのさ。 	 So much rice, so little time.
獣はいないな 	 Not a beast to be found... Well, except for those over there... And there...
腰が～曲が～りゃ 稲伸びる～♪ 	 My grandmother would say, “A crooked back makes for straighter stalks.”
この小屋は、川船をバラして作られてるんだ。 元は酒を造るための米を運んでいた船なもんで、 「酔いどれ蛙」なんて、船の名を受け継いでいるのさ。 	 The Drunken Toad was made using parts from an old riverboat. It carried rice used to make alcohol up and down the river─that's where the name comes from.
よくきなすったっぺな。 ここにいるナマズオは、ヒトを襲ったりすることはないから、 安心して過ごしてくれればいいっぺよ。 	 You needn't worry for your safety within these walls. No, no. The Namazu here are civilized─we would never attack man.
オイラたちは、ちゃんと読み書きだってできるっぺよい。 中でも、オイラの書く字はキレイだって、 屋敷でも評判なんだっぺよい！ 	 You are aware that we Namazu can read and write, yes? Quite literate, quite smart. And I have the finest writing of all here in Yuzuka Manor. I just wanted to share that with you.
ここのナマズオたちは、みんな「文明化」されてるっぺよ。 この鈴が、何よりの証拠っぺな！ 	 All of the Namazu here are quite civilized. Very dignified, very sophisticated. The bells you see at our necks are proof enough of that.
イカしたおヒトっぺな！ 僕も、おねえさんみたいな、イカしたナマズオになりたいものっぺよ！ 	 You are an accomplished and traveled woman of the world. Yes, yes. I wish very much to be like you one day.
ナマイ村のヒトが喜びそうなものの話をしてるところっぺな。 壺なら、ヒンヤリしてて居心地もいいから、 きっと有難がられるはずだと思うっぺよ。 	 We were just discussing what might make a good gift for the people of Namai. I believe a vase would do quite nicely, yes, yes.
また隠れてお茶を飲んで、ぺーろぺろになっちまってるっぺよ！ うちらナマズオがお茶を飲むと、酔っ払っちゃうから、 飲みすぎるなって、あれほど言ってるのにっぺよ！ 	 Those fools are off hiding again drowning themselves in tea. And after I've told them so many times not to. All Namazu know that stuff is for drunkards and mummers.
キミも入るっぺか？ 	 No room. Move along.
見つかったっぺよ～ 	 My pot. Here first.
なかなかの居心地っぺな 	 AAAHHH!!! Don't scare me like that!
かくれんぼっぺよ！ 	 Nothing to see here.
この辺りは、アオサギ滝から綺麗な水が湧き出ているので、 臭みが一切ない美味しい魚が釣れるんですよ。 	 This area's water comes from the Heron's Flight. Truly, I have not seen a cleaner waterfall in my life. I am ever thankful as it nurtures the fish my husband and I use to trade for rice.
……な、なんだよ？ そんなにジロジロ見るなって、釣りをしてるだけだっつうの！ 	 Abandoning my post? I'll have you know I'm more than capable of keeping watch and fishing at the same time!
この上に田があるだろう？ 田に引いてある水が、岩の間から、 漏れてきてたりしないかを調べているのさ。 	 Hmm yes, it seems there is indeed some water leaking from these rocks.
敵の動きを待つか… だが、しかし… 	 So we're just going to sit and wait until the enemy attacks!?
あの子が帰ってくるまで 綺麗にしないと 	 I have to keep the square clean for when my grand- son returns from the war.
けん、けん、ぱっ！ 	 One, one, two. One, one, two.
この屋敷でモノの価値に一番詳しいのは、このギョフ様っぺな！ おみゃあさんも、観てほしいモノがあったら、 持ってくるといいっぺよ？ 	 I'll have you know that in all of Yuzuka Manor, none is more knowledgeable about the value of things than I. Nobody, no one. If you wish to gauge the worth of something, you need only come and show it to me. Yes, yes.
どこに置くんだっけ…？ 	 Pretend like she's not watching me... Pretend like she's not watching me.
トンッ、トンッと… 	 This'll make a fine hull.
ヤンサの地はね、深い霧が雑音を消してしまうから、 昔から静かで穏やかなのよ。 そこに生きる私たちも、そんな日々が送れるといいわね。 	 The fog of Yanxia has been likened to a shroud of silence. A gift of the kami, some say, that the people of these lands may enjoy quiet, peaceful lives...
此度の作戦は、ドマにとって、二度はない挽回の機となろう。 是が非でも勝機を逃すことのないよう、 同志たちを徹底的に鍛えるでござる！ 	 This may be our final chance to win Doma her freedom. We dare not take any chances, for if we fail...
久方ぶりの帰還ゆえ、知らねばならんことが多い。 ドマ町人地も、今はどんな有様になっていることか……。 - しかし、アルフィノは、そこに住まう民も国の宝なのだと、 きちんと理解して策を立ててくれた。 「暁の血盟」には、気持ちのよい若者が集っているのだな。 	 Much has changed in my absence. The state of the enclave, in particular, concerns me... - But it would seem Alphinaud understands the importance of ensuring their safety. You Scions are no ordinary mercenaries, that much is plain.
どこに隠れたっぺか～？ 	 Now, where are those mummers off hiding?
一匹オオカモの手がかりは、必ずや私が見つけてみせますぞ！ 	 Pray do not concern yourself with me, my friend! Should I chance upon the fiend, I shall cry “Wolf Burglar!” at the top of my lungs!
見たこと無いお家ばっかりで、おもしろいです～。 	 Would you look at these pretty houses! I mean, they could use a little work, but they've all got potential!
必ずヤツを捕らえてみせるでござる……！ 	 He will not escape. Not this time...I hope.
俺は、先の捕虜交換で戻ってきた者だ。 こうしてまた、故郷の土を踏むことができて、 仲間とともに、復興を担えるなんて夢のようだぜ。 	 Thanks to the efforts of Lord Hien and his allies, my brothers and I are finally free from the Garleans. It feels a dream even now.
